Y,EAR,MAR,,,,,,,,,,,,,,,,
5,0.32,7.17,,,,,,,,,,,,,,,,
5,0.26,9.17,,,,,,,,,,,,,,,,
5,0.26,8.33,,,,,,,,,,,,,,,,
5,0.26,8.33,,,,,,,,,,,,,,,,
5,0.26,8.33,,,,,,,,,,,,,,,,
5,0.26,8.33,,,,,,,,,,,,,,,,
5,0.28,8.33,,,,,,,,,,,,,,,,
5,0.28,8.33,,,,,,,,,,,,,,,,
5,0.27,8.33,,,,,,,,,,,,,,,,
5,0.33,7.5,,,,,,,,,,,,,,,,
5,0.33,7.5,,,,,,,,,,,,,,,,
5,0.33,8.67,,,,,,,,,,,,,,,,
0,0.36,7.17,,,,,,,,,,,,,,,,
5,0.34,7.83,,,,,,,,,,,,,,,,
5,0.34,7.83,,,,,,,,,,,,,,,,
0,0.36,7.17,,,,,,,,,,,,,,,,
5,0.33,8.33,,,,,,,,,,,,,,,,
5,0.33,8.33,,,,,,,,,,,,,,,,
5,0.33,8.33,,,,,,,,,,,,,,,,
5,0.33,8.33,,,,,,,,,,,,,,,,
5,0.33,8.33,,,,,,,,,,,,,,,,
5,0.32,8.17,,,,,,,,,,,,,,,,
5,0.32,8.17,,,,,,,,,,,,,,,,
5,0.3,8.5,,,,,,,,,,,,,,,,
5,0.33,7.67,,,,,,,,,,,,,,,,
5,0.3,8.67,,,,,,,,,,,,,,,,
5,0.28,9.83,,,,,,,,,,,,,,,,
5,0.32,8.83,,,,,,,,,,,,,,,,
5,0.31,9.5,,,,,,,,,,,,,,,,
5,0.28,9.5,,,,,,,,,,,,,,,,
5,0.29,8.67,,,,,,,,,,,,,,,,
5,0.29,9.5,,,,,,,,,,,,,,,,
5,0.26,9.83,,,,,,,,,,,,,,,,
10,0.23,10.67,,,,,,,,,,,,,,,,
5,0.25,9.5,,,,,,,,,,,,,,,,
5,0.25,9.5,,,,,,,,,,,,,,,,
5,0.27,10,,,,,,,,,,,,,,,,
5,0.27,10,,,,,,,,,,,,,,,,
5,0.31,9.33,,,,,,,,,,,,,,,,
5,0.32,9.67,,,,,,,,,,,,,,,,
5,0.26,9.83,,,,,,,,,,,,,,,,
5,0.26,9.83,,,,,,,,,,,,,,,,
0,0.4,4.33,,,,,,,,,,,,,,,,
5,0.28,9.83,,,,,,,,,,,,,,,,
0,0.4,4.33,,,,,,,,,,,,,,,,
5,0.28,9.83,,,,,,,,,,,,,,,,
5,0.29,5.17,,,,,,,,,,,,,,,,
5,0.26,9.67,,,,,,,,,,,,,,,,
5,0.29,5.17,,,,,,,,,,,,,,,,
5,0.26,9.67,,,,,,,,,,,,,,,,
5,0.29,10.83,,,,,,,,,,,,,,,,
5,0.29,10.83,,,,,,,,,,,,,,,,
5,0.29,10.83,,,,,,,,,,,,,,,,
5,0.29,7.17,,,,,,,,,,,,,,,,
5,0.29,7.17,,,,,,,,,,,,,,,,
5,0.29,7.17,,,,,,,,,,,,,,,,
5,0.27,10.67,,,,,,,,,,,,,,,,
5,0.26,16,,,,,,,,,,,,,,,,
5,0.26,16,,,,,,,,,,,,,,,,
5,0.27,18.67,,,,,,,,,,,,,,,,
5,0.27,18.67,,,,,,,,,,,,,,,,
10,0.25,20.67,,,,,,,,,,,,,,,,
10,0.22,24.33,,,,,,,,,,,,,,,,
10,0.22,24.33,,,,,,,,,,,,,,,,
10,0.21,23.33,,,,,,,,,,,,,,,,
0,0.43,4.33,,,,,,,,,,,,,,,,
10,0.2,20.17,,,,,,,,,,,,,,,,
