Y,MOE,Participant,EAR,MAR,Circularity,EAR_N,MAR_N,Circularity_N,MOE_N
0,2.5341448,1,0.312688029,0.792396743,0.432896445,-0.999551437,0.802437149,-0.948848174,0.877172021
0,2.379946981,1,0.321939638,0.766199268,0.48692349,-0.000896522,0.317857894,1.044305967,0.211742317
0,2.078550128,1,0.331216162,0.688449396,0.456028705,1.00044796,-1.120295042,-0.095457793,-1.088914338
0,2.509766754,1,0.309246418,0.776136379,0.452654997,-1.371052444,0.50166636,-0.219919936,0.771970302
0,3.586821011,1,0.204690721,0.734188979,0.361123353,-12.65720474,-0.274242004,-3.596685712,5.419921239
0,2.343454143,1,0.322248986,0.75517572,0.469809689,0.032495711,0.1139534,0.412947285,0.054260073
0,2.161183561,1,0.348219842,0.752566998,0.45633094,2.835891913,0.065699419,-0.084307814,-0.732315644
0,2.62220604,1,0.284539605,0.74612147,0.386477058,-4.038002872,-0.053524647,-2.661342272,1.257194034
0,2.461622942,1,0.296542139,0.729974933,0.411542377,-2.742402185,-0.352189955,-1.736637892,0.564209109
0,2.217610314,1,0.351581536,0.779670839,0.495261989,3.198766288,0.56704389,1.35192809,-0.488810008
0,2.163315618,1,0.333525086,0.721520028,0.453353377,1.249682272,-0.508581804,-0.19415544,-0.7231149
0,2.181358133,1,0.332820118,0.725999871,0.517329198,1.173585215,-0.425717372,2.166026818,-0.645253713
0,2.151775419,1,0.337904735,0.727095104,0.447811107,1.722438793,-0.40545866,-0.39861968,-0.772915808
0,2.33345192,1,0.340539581,0.79463274,0.476608989,2.006854404,0.843796766,0.663785621,0.011096192
0,2.568477427,1,0.284080143,0.729653435,0.429299821,-4.087598933,-0.358136753,-1.081534057,1.025332028
0,2.810203011,1,0.243687224,0.68481057,0.42215496,-8.44776918,-1.187603039,-1.345120751,2.068481572
0,2.490851598,1,0.281334808,0.700763255,0.444680009,-4.38394124,-0.892523453,-0.514131453,0.690343292
0,2.372380722,1,0.287496374,0.682050856,0.437234089,-3.718837547,-1.238649957,-0.788824733,0.179090666
0,2.199024083,1,0.316858527,0.696779532,0.466449063,-0.549371497,-0.96621106,0.288967798,-0.569017565
0,2.146928658,1,0.321745731,0.69076513,0.477677011,-0.021827567,-1.077460509,0.703186854,-0.793831662
0,2.418472402,1,0.291892745,0.705934549,0.437249421,-3.244276002,-0.796869127,-0.788259115,0.377996029
0,2.089630478,1,0.340772038,0.712087637,0.502496495,2.031946719,-0.68305438,1.618821937,-1.041097874
0,2.170156425,1,0.315681793,0.68507887,0.501114233,-0.676392875,-1.182640249,1.56782782,-0.693593887
0,2.104468472,1,0.331095258,0.696779532,0.480468092,0.987397121,-0.96621106,0.806154834,-0.977065568
0,2.164940375,1,0.338466623,0.732760058,0.512235612,1.783091192,-0.300673003,1.978115349,-0.71610338
0,2.304748839,1,0.3231895,0.744870625,0.482280796,0.134018553,-0.076661736,0.87302872,-0.112769909
0,2.661091975,1,0.272908417,0.726234399,0.440565826,-5.293518898,-0.421379269,-0.66591103,1.425003514
0,2.052680049,1,0.354946756,0.728592125,0.49530994,3.562021439,-0.377767988,1.353697074,-1.200554822
0,2.161688909,1,0.323518473,0.699346294,0.503393414,0.169529127,-0.918733223,1.651910892,-0.730134847
0,2.240678614,1,0.320648841,0.718471001,0.475032429,-0.140230169,-0.564980196,0.605623485,-0.389260403
0,2.379541764,1,0.313160114,0.745177571,0.459252255,-0.948592709,-0.070984108,0.023464726,0.209993631
0,2.362395875,1,0.311932922,0.736909048,0.438403634,-1.081060687,-0.223928419,-0.745678147,0.13600177
0,2.217578852,1,0.321082562,0.712025899,0.492129183,-0.093412649,-0.684196368,1.236353289,-0.488945779
0,2.239294623,1,0.320249674,0.717133373,0.470838669,-0.183317843,-0.589722532,0.450908202,-0.395232915
0,2.960781901,1,0.257469155,0.762310013,0.406934547,-6.960093487,0.245917657,-1.906628963,2.718294046
0,2.31448647,1,0.335541677,0.776606672,0.465736338,1.467361054,0.51036546,0.26267412,-0.070747858
0,2.451087211,1,0.295845826,0.725143919,0.465008889,-2.817565006,-0.441550052,0.2358372,0.518742914
0,2.192437341,1,0.348775811,0.764669111,0.500057592,2.89590533,0.289554304,1.528846434,-0.597442179
0,2.562566911,1,0.278191306,0.712883835,0.403883591,-4.723263154,-0.668326968,-2.019184182,0.999825617
0,3.136548136,1,0.226299238,0.709798454,0.380377052,-10.32469658,-0.725397795,-2.886382385,3.476800717
0,2.291241427,1,0.32003109,0.733268493,0.47157016,-0.20691258,-0.291268406,0.477894217,-0.171060183
0,2.574801469,1,0.275292803,0.708824313,0.420033632,-5.036138945,-0.743416657,-1.423380334,1.05262298
0,2.945115154,1,0.269834591,0.794693942,0.385937867,-5.625319787,0.844928838,-2.681233971,2.650685317
0,2.697770589,1,0.285809739,0.771049109,0.428828975,-3.900899526,0.407566242,-1.098904399,1.583287461
0,3.10527304,1,0.25370291,0.787816808,0.392243385,-7.36663668,0.717721282,-2.448612173,3.341835267
0,2.741920459,1,0.278265313,0.762981355,0.406520127,-4.715274512,0.258335594,-1.921917641,1.773813084
0,2.443432892,1,0.318716335,0.778761977,0.492420935,-0.3488324,0.550232508,1.24711653,0.485711244
0,2.629675816,1,0.299381579,0.787276497,0.452879112,-2.435901946,0.707727062,-0.211651917,1.289429319
0,2.746021489,1,0.294398876,0.808425639,0.439477971,-2.973754457,1.098926424,-0.706043932,1.791510783
0,3.038052617,1,0.261331798,0.793939754,0.382091487,-6.543144558,0.830978491,-2.823133814,3.051750321
0,2.61165981,1,0.306716272,0.80103856,0.43520355,-1.644166385,0.96228634,-0.863734964,1.21168253
0,2.663464358,1,0.305526089,0.813757848,0.443539645,-1.772639394,1.197557225,-0.556201528,1.435241363
0,2.560153547,1,0.310599339,0.795181998,0.436430011,-1.225012908,0.8539565,-0.818488634,0.98941092
0,3.18469156,1,0.247617057,0.788583951,0.360910582,-8.023567598,0.731911264,-3.604535196,3.684560235
0,2.928151369,1,0.266999792,0.781815806,0.399603451,-5.931319089,0.606719717,-2.177086188,2.577479312
0,2.635245999,1,0.301308423,0.794021817,0.43968858,-2.227910769,0.832496417,-0.698274197,1.313467045
0,2.542891697,1,0.318952613,0.811061951,0.461088919,-0.323327693,1.14769075,0.09122253,0.914918634
0,2.580480443,1,0.305753763,0.788991606,0.429546288,-1.748063353,0.739451726,-1.072441439,1.077130189
0,2.614667557,1,0.293832125,0.768273325,0.459588,-3.034931705,0.356222086,0.035850928,1.224662245
0,2.780542124,1,0.293307263,0.815553199,0.417226428,-3.091587436,1.230766153,-1.526943108,1.940482125
0,2.242127268,1,0.33720765,0.756062467,0.481728527,1.647192659,0.130355711,0.852654499,-0.383008837
0,2.278976055,1,0.337615131,0.7694168,0.468470092,1.691177769,0.377373127,0.36352717,-0.223990522
0,2.312702478,1,0.335470206,0.775842777,0.476018147,1.459646171,0.496235556,0.641988404,-0.078446548
0,2.566431898,1,0.306974309,0.787828658,0.449575272,-1.616312855,0.717940478,-0.333536487,1.016504696
0,2.353144611,1,0.33905005,0.797833799,0.484642845,1.846068586,0.903007313,0.960168908,0.096078597
0,2.098638492,1,0.395067226,0.829103287,0.533837459,7.892782365,1.481404485,2.775046048,-1.002224434
